PLACEKEY,LATITUDE,LONGITUDE,STREET_ADDRESS,CITY,REGION,POSTAL_CODE,PARENT_PLACEKEY,TOP_CATEGORY,SUB_CATEGORY,placekeys_y,store_names_y
228-234@8tm-nr7-v75,35.636028,-106.01499,4250 Cerrillos Rd,Santa Fe,NM,87507,,Amusement Parks and Arcades,Amusement Arcades,228-234@8tm-nr7-v75,All Out Zone Santa Fe
222-225@bp6-28x-gkz,20.711166,-156.443966,2737 S Kihei Rd,Wailea,HI,96753,,RV (Recreational Vehicle) Parks and Recreational Camps,,222-225@bp6-28x-gkz,My Maui Vacation Rental
222-222@63c-679-gx5,39.97551,-80.478195,3 Camp Resort Rd,West Finley,PA,15377,,RV (Recreational Vehicle) Parks and Recreational Camps,,222-222@63c-679-gx5,Four Seasons Camping Resort
227-222@5qw-w2y-wx5,32.762331,-97.449847,410 N Cherry Ln,Fort Worth,TX,76108,,RV (Recreational Vehicle) Parks and Recreational Camps,,227-222@5qw-w2y-wx5,Settler's Haven Mobile Home & RV Park
zzy-222@629-m52-q4v,42.198373,-74.078014,County Rt 18,Haines Falls,NY,12436,,RV (Recreational Vehicle) Parks and Recreational Camps,,zzy-222@629-m52-q4v,North South Lake Campground
zzy-222@5s7-2g3-y5f,42.707578,-83.425022,5934 Clarkston Rd # 5956,Clarkston,MI,48348,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@5s7-2g3-y5f,Spray Park
228-222@5pk-dkg-9xq,38.521334,-89.137327,601 S Oak St,Centralia,IL,62801,,Amusement Parks and Arcades,Amusement and Theme Parks,228-222@5pk-dkg-9xq,Williams Enterprises
222-224@5z4-vxq-9xq,34.43789,-118.265848,7601 Soledad Canyon Rd,Acton,CA,93510,,RV (Recreational Vehicle) Parks and Recreational Camps,,222-224@5z4-vxq-9xq,Los Angeles RV Resort
22q-222@5yz-n7f-td9,37.113389,-113.579865,301 N 200 E Ste 1A,Saint George,UT,84770,,RV (Recreational Vehicle) Parks and Recreational Camps,,22q-222@5yz-n7f-td9,Red Rock Vacation Rentals
222-224@63q-s7d-cyv,42.959572,-78.405512,47 Alleghany Rd,Corfu,NY,14036,,Amusement Parks and Arcades,Amusement and Theme Parks,222-224@63q-s7d-cyv,Viper
222-228@8gf-g6r-dqf,35.23662,-81.014757,1500 River Dr,Belmont,NC,28012,,Amusement Parks and Arcades,Amusement and Theme Parks,222-228@8gf-g6r-dqf,Lake Wylie Boat Rental
zzy-223@5w9-hvv-rff,43.648585,-116.247546,W State St,Boise,ID,83703,,RV (Recreational Vehicle) Parks and Recreational Camps,,zzy-223@5w9-hvv-rff,Bruno Dunes State Park
225-222@8gj-qt5-7kf,29.70567,-85.380002,109 Clearwater Dr,Port Saint Joe,FL,32456,,RV (Recreational Vehicle) Parks and Recreational Camps,,225-222@8gj-qt5-7kf,Teresa's Beach Vacation Rental Homes
224-224@8fv-zj5-zcq,25.966035,-80.143107,2940 NE 207th St,Aventura,FL,33180,,Amusement Parks and Arcades,Amusement and Theme Parks,224-224@8fv-zj5-zcq,Wonderwheel At The Plaza Aventura Parksqure
zzy-222@5x4-vph-8d9,49.779038,-124.352266,10975-101 Hwy 101,Powell River,BC,V8A 0L5,,RV (Recreational Vehicle) Parks and Recreational Camps,,zzy-222@5x4-vph-8d9,Seabreeze Resort
zzy-224@5pp-wm9-mzf,38.173162,-92.61478,Old Highway 54,Lake Ozark,MO,65049,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-224@5pp-wm9-mzf,Port Arrowhead Lake Ozark
222-222@8gc-448-d7q,32.592405,-80.117743,1 Shipwatch Rd,Johns Island,SC,29455,,Amusement Parks and Arcades,Amusement and Theme Parks,222-222@8gc-448-d7q,Kiawah Island Property Owners Recreation Center
zzy-222@628-xkz-435,41.509866,-72.791835,Devon Court,Meriden,CT,06450,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@628-xkz-435,Sterling Village Recreation Center
222-222@5sb-f3g-j5f,42.615563,-88.584658,1505 South Shore Dr,Delavan,WI,53115,,RV (Recreational Vehicle) Parks and Recreational Camps,,222-222@5sb-f3g-j5f,Delavan Lake Resort
22k-222@8fc-fbj-grk,29.725757,-95.411568,2222 Bissonnet St Ste 301,Houston,TX,77005,,Amusement Parks and Arcades,Amusement and Theme Parks,22k-222@8fc-fbj-grk,Houston Escape Room
zzy-223@8fw-5k7-zcq,25.672105,-80.359355,10655 SW 104 St,Miami,FL,33176,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-223@8fw-5k7-zcq,Pro Performance Baseball
zzy-222@62j-sgx-qcq,42.288183,-71.059859,45 Bruce St,Milton,MA,02186,,RV (Recreational Vehicle) Parks and Recreational Camps,,zzy-222@62j-sgx-qcq,Camp Kidstown
zzy-222@64v-yc2-bkz,44.189122,-69.49524,88 Wavus Pt Rd,Jefferson,ME,04348,,RV (Recreational Vehicle) Parks and Recreational Camps,,zzy-222@64v-yc2-bkz,Wavus Camps
222-222@8sc-8zf-d9z,32.781641,-115.686819,1716 Sunbeam Lake Dr,El Centro,CA,92243,,RV (Recreational Vehicle) Parks and Recreational Camps,,222-222@8sc-8zf-d9z,Sunbeam Lake Rv Resort
zzy-222@5vg-962-wc5,37.961294,-122.568732,Lagunitas Rd,Ross,CA,94957,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@5vg-962-wc5,Eldridge Fire Road
223-223@66b-3wr-n5z,45.306722,-73.278503,685 Rue Saint-Jacques,Saint-Jean-Sur-Richelieu,QC,J3B 2M9,,Amusement Parks and Arcades,Amusement and Theme Parks,223-223@66b-3wr-n5z,Centre De Tennis St Jean
