County,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
San Miguel County,0.3758,0.0509,0.4378,0.5425,0.2911
Sedgwick County,0.5059,0.9831,0.5978,0.3296,0.6729
Summit County,0.2533,0.0095,0.5597,0.4725,0.1696
Teller County,0.2256,0.0223,0.4416,0.0369,0.0496
Washington County,0.2004,0.4928,0.4146,0.3805,0.2848
Weld County,0.5269,0.5367,0.7391,0.5457,0.5889
Yuma County,0.8202,0.601,0.6475,0.3411,0.6783
Capitol Planning Region,0.3952,0.427,0.7735,0.7891,0.5877
Greater Bridgeport Planning Region,0.7391,0.5924,0.791,0.8673,0.8142
Lower Connecticut River Valley Planning Region,0.1145,0.1467,0.5065,0.3229,0.1534
Naugatuck Valley Planning Region,0.4836,0.5746,0.7636,0.5142,0.5641
Northeastern Connecticut Planning Region,0.3894,0.2953,0.5065,0.0955,0.2409
Northwest Hills Planning Region,0.2558,0.3608,0.5597,0.2606,0.2727
South Central Connecticut Planning Region,0.4884,0.3681,0.7655,0.9039,0.6637
Southeastern Connecticut Planning Region,0.3541,0.4734,0.6128,0.6055,0.4865
Western Connecticut Planning Region,0.4034,0.3102,0.7751,0.5008,0.4664
Kent County,0.6306,0.8676,0.7964,0.7881,0.8151
New Castle County,0.3376,0.4018,0.8352,0.6561,0.5132
Sussex County,0.4483,0.6904,0.6166,0.3948,0.5183
District of Columbia,0.4394,0.1056,0.9386,0.9631,0.6262
Alachua County,0.629,0.0309,0.7881,0.9357,0.6099
Baker County,0.6118,0.4073,0.5558,0.7051,0.6188
Bay County,0.6405,0.8126,0.6083,0.6952,0.7407
Bradford County,0.9144,0.3198,0.6354,0.9901,0.8867
Brevard County,0.4833,0.4913,0.6424,0.3659,0.4817
Broward County,0.791,0.4935,0.9481,0.6777,0.7814
Calhoun County,0.7989,0.7124,0.6045,0.9628,0.8756
Charlotte County,0.5908,0.6554,0.489,0.5145,0.5953
Citrus County,0.7321,0.5857,0.3977,0.3264,0.5698
Clay County,0.2978,0.5087,0.6647,0.2857,0.3649
Collier County,0.588,0.4362,0.7636,0.5953,0.6141
Columbia County,0.8311,0.818,0.6487,0.9701,0.9138
DeSoto County,0.992,0.9656,0.8447,0.9876,0.9981
Dixie County,0.7681,0.4884,0.4699,0.8944,0.7719
Duval County,0.7105,0.6144,0.8711,0.8062,0.7935
Escambia County,0.783,0.644,0.7474,0.8801,0.839
Flagler County,0.4559,0.5597,0.6277,0.0554,0.3121
Franklin County,0.9644,0.6176,0.5711,0.8902,0.9017
Gadsden County,0.8855,0.971,0.9532,0.9405,0.9742
Gilchrist County,0.455,0.896,0.3697,0.9141,0.7337
Glades County,0.9516,0.7735,0.8088,0.7229,0.9058
Gulf County,0.6125,0.6252,0.5667,0.7856,0.7082
Hamilton County,0.9777,0.8622,0.8317,0.9574,0.9803
Hardee County,0.9876,0.8979,0.8899,0.9685,0.993
Hendry County,0.993,0.8575,0.9625,0.9761,0.9946
Hernando County,0.7537,0.7623,0.6185,0.3048,0.6602
Highlands County,0.818,0.8664,0.7286,0.7607,0.8673
Hillsborough County,0.7327,0.49,0.8871,0.7897,0.7789
Holmes County,0.7786,0.77,0.4248,0.833,0.8081
Indian River County,0.5975,0.5803,0.6249,0.2434,0.5145
Jackson County,0.7362,0.8947,0.7213,0.6223,0.8085
Jefferson County,0.7143,0.6325,0.776,0.6666,0.7439
Lafayette County,0.9214,0.4626,0.6726,0.7906,0.8409
Lake County,0.6128,0.6481,0.7086,0.4512,0.6214
Lee County,0.6507,0.6067,0.7299,0.671,0.7086
Leon County,0.6659,0.1021,0.8323,0.937,0.6952
Levy County,0.7184,0.9119,0.5616,0.5224,0.7582
Liberty County,0.8454,0.6077,0.636,0.8132,0.8266
Madison County,0.8011,0.5822,0.8403,0.9338,0.8638
Manatee County,0.6516,0.4906,0.6685,0.5622,0.6332
Marion County,0.7926,0.7891,0.6936,0.7143,0.8196
Martin County,0.4022,0.384,0.5797,0.5415,0.4642
Miami-Dade County,0.9049,0.4365,0.9901,0.8909,0.881
Monroe County,0.5247,0.3143,0.7378,0.9294,0.6822
