FID,sky,tree,road,grass,person,earth,wall,fence,building,plant,car,signboard,awning,streetlight,sidewalk,ashcan,water,mountain,van,bicycle,bridge,railing,column,chair,minibike,fountain,sculpture,pier,booth,ceiling,lake,windowpane,skyscraper,lamp,sofa,bulletin board,desk,glass
zzy-222@628-pwy-3t9_0_19007,0.407979,0.045066,0.354741,0.103679,0.0,0.002397,0.000913,0.004148,0.015283,0.009565,0.000591,0.000571,0.0,0.000862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-pwy-3t9_270_19007,0.392725,0.050557,0.052314,0.191575,0.0,0.08313,0.001243,0.00249,0.019202,0.001587,0.031836,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-r69-8vz_0_07762,0.455786,0.002134,0.429495,0.027009,0.0,0.00718,0.004966,0.0,0.042625,0.018826,0.00262,0.0,0.0,0.0,0.007324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-r69-8vz_180_07762,0.484617,0.017988,0.440996,0.024014,0.0,0.006458,0.0,0.0,0.024729,0.0,0.000134,0.0,0.0,0.000886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-r69-8vz_270_07762,0.442251,0.006746,0.315798,0.04332,0.0,0.100457,0.002566,6.8e-05,0.055959,0.017068,0.005198,0.002642,0.0,0.001128,0.00438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-r69-8vz_90_07762,0.491865,0.030381,0.429524,0.007271,0.0,0.023979,0.0,0.0,0.008682,9.5e-05,0.0,0.002771,0.0,0.000916,0.000679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-r7f-jvz_0_07712,0.346941,0.196895,0.352451,0.013408,0.0,0.033372,0.0,0.033118,0.003125,0.0,0.002683,0.0,0.0,0.0,0.011733,0.0,0.0,0.0,0.000881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-r7f-jvz_180_07712,0.327244,0.215762,0.341218,0.001985,0.0,0.052195,0.0,0.005527,0.027893,0.023525,0.000725,0.0,0.0,0.000371,0.003555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-r7f-jvz_270_07712,0.39812,0.11062,0.062026,0.002742,0.0,0.018455,0.004358,0.022266,0.011072,0.30522,0.0,0.002542,0.0,0.003948,0.037104,0.0,0.0,0.0,0.0,0.0,0.0,0.00074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-r7f-jvz_90_07712,0.303127,0.270508,0.290002,0.072024,0.0,0.000754,0.0,0.0,0.012705,0.0,0.001389,0.0,0.0,0.0,0.04949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
